Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),ULR-Baseline (ms),P-ULR-Par4,PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_Primes_true-unreach-call.c/lasso_trace_7.txt,TERMINATING,0.28,156.06,168.21,324.55,5,TERMINATING,21,6,27,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_Primes_true-unreach-call.c/lasso_trace_8.txt,TERMINATING,0.39,76.99,198.24,275.62,11,TERMINATING,23,5,28,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-DoStatement-Safe.c/lasso_trace_1.txt,NONTERMINATING,2.13,0,144.92,147.05,2,NONTERMINATING,5,4,9,GNTA / GNTA
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-DoStatement-Unsafe.c/lasso_trace_1.txt,INFEASIBLE,1.62,35.67,50.51,-,-,-,5,3,8,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-ForStatement-Safe.c/lasso_trace_1.txt,NONTERMINATING,1.87,0,196.57,198.44,2,NONTERMINATING,5,4,9,GNTA / GNTA
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-ForStatement-Unsafe.c/lasso_trace_1.txt,INFEASIBLE,2.35,0,132.33,-,-,-,5,4,9,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-ForStatement-Unsafe.c/lasso_trace_2.txt,NONTERMINATING,1.1,0,0,1.1,1,NONTERMINATING,7,1,8,Fixpoint / Fixpoint
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-IfStatement-Safe.c/lasso_trace_1.txt,NONTERMINATING,2.82,0,0,2.82,1,NONTERMINATING,6,1,7,Fixpoint / Fixpoint
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-IfStatement-Unsafe.c/lasso_trace_2.txt,NONTERMINATING,0.94,0,0,0.94,1,NONTERMINATING,6,1,7,Fixpoint / Fixpoint
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-SwitchStatement-Safe.c/lasso_trace_1.txt,NONTERMINATING,3.18,0,0,3.18,2,NONTERMINATING,6,1,7,Fixpoint / Fixpoint
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-SwitchStatement-Unsafe.c/lasso_trace_2.txt,NONTERMINATING,0.99,0,0,0.99,1,NONTERMINATING,7,1,8,Fixpoint / Fixpoint
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-WhileStatement-Unsafe.c/lasso_trace_1.txt,INFEASIBLE,1.66,28.67,52.22,-,-,-,5,3,8,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_ShortCircuit-SideEffect-WhileStatement-Unsafe.c/lasso_trace_2.txt,NONTERMINATING,1.31,0,0,1.31,1,NONTERMINATING,8,1,9,Fixpoint / Fixpoint
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_stateful_check_false-unreach-call.c/lasso_trace_1.txt,INFEASIBLE,2.52,0,0,-,-,-,9,5,14,-
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_stateful_check_false-unreach-call.c/lasso_trace_2.txt,NONTERMINATING,1.57,0,0,1.57,1,NONTERMINATING,9,6,15,Fixpoint / Fixpoint
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_1.txt,TERMINATING,1.87,50.22,64.69,116.78,5,TERMINATING,0,4,4,Affine Template / 2-5-Nested Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_01_basic_safe.bpl/lasso_trace_2.txt,TERMINATING,0.38,54.22,53.26,107.86,5,TERMINATING,1,4,5,Affine Template / Affine Template
